K,1706298150.3451579
J,1706298158.0428832
K,1706298163.295608
I,1706298168.6217434
G,1706298174.4657643
K,1706298181.3197415
A,1706298185.3798504
D,1706298191.6993275
F,1706298196.9638991
R,1706298201.9718094
S,1706298207.8581765
K,1706298213.8989341
U,1706298217.8820734
M,1706298222.3907266
D,1706298229.9173398
K,1706298236.0246854
P,1706298241.7478423
M,1706298247.0808737
J,1706298253.2319736
K,1706298258.5424762
K,1706298263.3383589
B,1706298267.3357913
O,1706298272.930278
T,1706298276.7522097
G,1706298281.1095412
N,1706298296.4483032
