E,1706298512.8835475
E,1706298517.3620567
S,1706298523.674274
E,1706298529.2603493
E,1706298536.1620002
R,1706298542.5671287
U,1706298548.061214
G,1706298554.867247
L,1706298561.148461
E,1706298566.5856414
O,1706298572.5115635
D,1706298578.3731322
E,1706298585.1749656
E,1706298592.9062026
E,1706298598.6917534
E,1706298602.7956567
E,1706298608.271167
G,1706298612.8365407
E,1706298617.5984344
B,1706298623.4710312
E,1706298629.7390044
X,1706298635.6116354
Y,1706298641.922691
G,1706298647.4660168
U,1706298654.2340772
E,1706298660.2026749
E,1706298665.4124632
